id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_areal_tanam,satuan,tahun
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5.0,HEKTAR,2019
181,32,JAWA BARAT,3271,KOTA BOGOR,9.0,HEKTAR,2019
182,32,JAWA BARAT,3272,KOTA SUKABUMI,11.0,HEKTAR,2019
183,32,JAWA BARAT,3273,KOTA BANDUNG,0.0,HEKTAR,2019
184,32,JAWA BARAT,3274,KOTA CIREBON,0.0,HEKTAR,2019
185,32,JAWA BARAT,3275,KOTA BEKASI,0.0,HEKTAR,2019
186,32,JAWA BARAT,3276,KOTA DEPOK,0.0,HEKTAR,2019
187,32,JAWA BARAT,3277,KOTA CIMAHI,0.0,HEKTAR,2019
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6.0,HEKTAR,2019
189,32,JAWA BARAT,3279,KOTA BANJAR,16.0,HEKTAR,2019
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,356.0,HEKTAR,2020
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,716.0,HEKTAR,2020
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1083.0,HEKTAR,2020
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1542.0,HEKTAR,2020
194,32,JAWA BARAT,3205,KABUPATEN GARUT,3545.0,HEKTAR,2020
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,446.0,HEKTAR,2020
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,84.0,HEKTAR,2020
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,173.0,HEKTAR,2020
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,0.0,HEKTAR,2020
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,157.0,HEKTAR,2020
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,267.0,HEKTAR,2020
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,45.0,HEKTAR,2020
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,224.0,HEKTAR,2020
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,81.0,HEKTAR,2020
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0.0,HEKTAR,2020
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,0.0,HEKTAR,2020
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,366.0,HEKTAR,2020
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,13.0,HEKTAR,2020
208,32,JAWA BARAT,3271,KOTA BOGOR,11.0,HEKTAR,2020
209,32,JAWA BARAT,3272,KOTA SUKABUMI,8.0,HEKTAR,2020
210,32,JAWA BARAT,3273,KOTA BANDUNG,0.0,HEKTAR,2020
211,32,JAWA BARAT,3274,KOTA CIREBON,0.0,HEKTAR,2020
212,32,JAWA BARAT,3275,KOTA BEKASI,0.0,HEKTAR,2020
213,32,JAWA BARAT,3276,KOTA DEPOK,0.0,HEKTAR,2020
214,32,JAWA BARAT,3277,KOTA CIMAHI,0.0,HEKTAR,2020
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4.0,HEKTAR,2020
216,32,JAWA BARAT,3279,KOTA BANJAR,34.0,HEKTAR,2020
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,342.0,HEKTAR,2021
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,818.0,HEKTAR,2021
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1130.0,HEKTAR,2021
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1255.0,HEKTAR,2021
221,32,JAWA BARAT,3205,KABUPATEN GARUT,3520.0,HEKTAR,2021
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,312.0,HEKTAR,2021
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,98.0,HEKTAR,2021
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,14.0,HEKTAR,2021
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,0.0,HEKTAR,2021
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,174.0,HEKTAR,2021
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,226.0,HEKTAR,2021
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,77.0,HEKTAR,2021
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,249.0,HEKTAR,2021
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,82.0,HEKTAR,2021
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0.0,HEKTAR,2021
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,2.0,HEKTAR,2021
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,318.0,HEKTAR,2021
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2.0,HEKTAR,2021
235,32,JAWA BARAT,3271,KOTA BOGOR,9.0,HEKTAR,2021
236,32,JAWA BARAT,3272,KOTA SUKABUMI,5.0,HEKTAR,2021
237,32,JAWA BARAT,3273,KOTA BANDUNG,0.0,HEKTAR,2021
238,32,JAWA BARAT,3274,KOTA CIREBON,0.0,HEKTAR,2021
239,32,JAWA BARAT,3275,KOTA BEKASI,0.0,HEKTAR,2021
240,32,JAWA BARAT,3276,KOTA DEPOK,0.0,HEKTAR,2021
241,32,JAWA BARAT,3277,KOTA CIMAHI,0.0,HEKTAR,2021
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4.0,HEKTAR,2021
243,32,JAWA BARAT,3279,KOTA BANJAR,31.0,HEKTAR,2021
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,337.0,HEKTAR,2022
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,947.0,HEKTAR,2022
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1176.0,HEKTAR,2022
247,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1422.0,HEKTAR,2022
248,32,JAWA BARAT,3205,KABUPATEN GARUT,3927.0,HEKTAR,2022
249,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,252.0,HEKTAR,2022
250,32,JAWA BARAT,3207,KABUPATEN CIAMIS,87.0,HEKTAR,2022
251,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,63.0,HEKTAR,2022
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,5.0,HEKTAR,2022
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,104.0,HEKTAR,2022
254,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,390.0,HEKTAR,2022
255,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,58.0,HEKTAR,2022
256,32,JAWA BARAT,3213,KABUPATEN SUBANG,143.0,HEKTAR,2022
257,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,94.0,HEKTAR,2022
258,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0.0,HEKTAR,2022
259,32,JAWA BARAT,3216,KABUPATEN BEKASI,6.0,HEKTAR,2022
260,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,277.0,HEKTAR,2022
261,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,4.0,HEKTAR,2022
262,32,JAWA BARAT,3271,KOTA BOGOR,18.0,HEKTAR,2022
263,32,JAWA BARAT,3272,KOTA SUKABUMI,0.0,HEKTAR,2022
264,32,JAWA BARAT,3273,KOTA BANDUNG,6.0,HEKTAR,2022
265,32,JAWA BARAT,3274,KOTA CIREBON,0.0,HEKTAR,2022
266,32,JAWA BARAT,3275,KOTA BEKASI,0.0,HEKTAR,2022
267,32,JAWA BARAT,3276,KOTA DEPOK,0.0,HEKTAR,2022
268,32,JAWA BARAT,3277,KOTA CIMAHI,0.0,HEKTAR,2022
269,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3.0,HEKTAR,2022
270,32,JAWA BARAT,3279,KOTA BANJAR,38.0,HEKTAR,2022
271,32,JAWA BARAT,3201,KABUPATEN BOGOR,289.0,HEKTAR,2023
272,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,862.0,HEKTAR,2023
273,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1117.0,HEKTAR,2023
274,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1610.0,HEKTAR,2023
275,32,JAWA BARAT,3205,KABUPATEN GARUT,3356.0,HEKTAR,2023
276,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,258.0,HEKTAR,2023
277,32,JAWA BARAT,3207,KABUPATEN CIAMIS,103.0,HEKTAR,2023
278,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,61.0,HEKTAR,2023
279,32,JAWA BARAT,3209,KABUPATEN CIREBON,1.0,HEKTAR,2023
280,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,116.0,HEKTAR,2023
281,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,417.0,HEKTAR,2023
282,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,63.0,HEKTAR,2023
283,32,JAWA BARAT,3213,KABUPATEN SUBANG,140.0,HEKTAR,2023
284,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,78.0,HEKTAR,2023
285,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1.0,HEKTAR,2023
286,32,JAWA BARAT,3216,KABUPATEN BEKASI,7.0,HEKTAR,2023
287,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,296.0,HEKTAR,2023
288,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,15.0,HEKTAR,2023
289,32,JAWA BARAT,3271,KOTA BOGOR,19.0,HEKTAR,2023
290,32,JAWA BARAT,3272,KOTA SUKABUMI,8.0,HEKTAR,2023
291,32,JAWA BARAT,3273,KOTA BANDUNG,5.0,HEKTAR,2023
292,32,JAWA BARAT,3274,KOTA CIREBON,1.0,HEKTAR,2023
293,32,JAWA BARAT,3275,KOTA BEKASI,0.0,HEKTAR,2023
294,32,JAWA BARAT,3276,KOTA DEPOK,0.0,HEKTAR,2023
295,32,JAWA BARAT,3277,KOTA CIMAHI,0.0,HEKTAR,2023
296,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8.0,HEKTAR,2023
297,32,JAWA BARAT,3279,KOTA BANJAR,34.0,HEKTAR,2023
298,32,JAWA BARAT,3201,KABUPATEN BOGOR,281.0,HEKTAR,2024
299,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,872.0,HEKTAR,2024
300,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1174.0,HEKTAR,2024
301,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2123.0,HEKTAR,2024
302,32,JAWA BARAT,3205,KABUPATEN GARUT,3353.0,HEKTAR,2024
303,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,245.0,HEKTAR,2024
304,32,JAWA BARAT,3207,KABUPATEN CIAMIS,79.0,HEKTAR,2024
305,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,51.0,HEKTAR,2024
306,32,JAWA BARAT,3209,KABUPATEN CIREBON,0.0,HEKTAR,2024
307,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,233.0,HEKTAR,2024
308,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,359.0,HEKTAR,2024
309,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,90.0,HEKTAR,2024
310,32,JAWA BARAT,3213,KABUPATEN SUBANG,146.0,HEKTAR,2024
311,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,87.0,HEKTAR,2024
312,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0.0,HEKTAR,2024
313,32,JAWA BARAT,3216,KABUPATEN BEKASI,2.0,HEKTAR,2024
314,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,245.0,HEKTAR,2024
315,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,22.0,HEKTAR,2024
316,32,JAWA BARAT,3271,KOTA BOGOR,6.0,HEKTAR,2024
317,32,JAWA BARAT,3272,KOTA SUKABUMI,2.0,HEKTAR,2024
